GEOID,NAME,variable,estimate,moe,total
27589,ZCTA5 27589,income,7938,544,0
27591,ZCTA5 27591,income,20562,1297,0
27592,ZCTA5 27592,income,15972,1386,305
27596,ZCTA5 27596,income,18043,1166,1050
27597,ZCTA5 27597,income,24691,1629,4200
27601,ZCTA5 27601,income,10525,638,5085.38
27603,ZCTA5 27603,income,54457,2066,4384.97
27604,ZCTA5 27604,income,48494,1833,12832.75
27605,ZCTA5 27605,income,5990,462,18210
27606,ZCTA5 27606,income,47478,1574,15093.11
27607,ZCTA5 27607,income,28874,1128,22621.25
27608,ZCTA5 27608,income,11203,606,64577.5
27609,ZCTA5 27609,income,33575,1400,47334.33
27610,ZCTA5 27610,income,79924,2136,2955
27612,ZCTA5 27612,income,39989,1417,33086.5
27613,ZCTA5 27613,income,42324,1398,6775
27614,ZCTA5 27614,income,32849,1177,23102.5
27615,ZCTA5 27615,income,43950,1266,15755
27616,ZCTA5 27616,income,55128,2147,6.25
27617,ZCTA5 27617,income,20281,920,752.5
27701,ZCTA5 27701,income,23112,1186,22479.5
27703,ZCTA5 27703,income,53733,2036,7116
27704,ZCTA5 27704,income,40392,2027,1727.8
27705,ZCTA5 27705,income,49508,1523,99553.65
27707,ZCTA5 27707,income,51414,2005,42099.09
27709,ZCTA5 27709,income,1152,461,12100
27712,ZCTA5 27712,income,21301,1023,1390
27713,ZCTA5 27713,income,54348,1518,15286.2
27801,ZCTA5 27801,income,20065,565,280.25
27803,ZCTA5 27803,income,17905,1143,4050
27804,ZCTA5 27804,income,29519,912,2175
27805,ZCTA5 27805,income,4243,547,0
27806,ZCTA5 27806,income,2576,404,0
27807,ZCTA5 27807,income,6604,709,0
27808,ZCTA5 27808,income,2066,276,1870
27809,ZCTA5 27809,income,4747,649,0
27810,ZCTA5 27810,income,4045,596,0
27812,ZCTA5 27812,income,2686,568,0
27813,ZCTA5 27813,income,792,193,0
27814,ZCTA5 27814,income,1947,438,0
27816,ZCTA5 27816,income,2125,437,1050
27817,ZCTA5 27817,income,7614,843,0
27818,ZCTA5 27818,income,1699,490,0
27819,ZCTA5 27819,income,249,105,0
27820,ZCTA5 27820,income,2041,347,0
27821,ZCTA5 27821,income,225,138,0
27822,ZCTA5 27822,income,8225,739,285
27823,ZCTA5 27823,income,7950,574,0
27824,ZCTA5 27824,income,1797,406,0
27825,ZCTA5 27825,income,46,34,0
27826,ZCTA5 27826,income,924,229,0
27827,ZCTA5 27827,income,59,62,0
27828,ZCTA5 27828,income,9834,824,0
27829,ZCTA5 27829,income,1436,273,0
27830,ZCTA5 27830,income,4547,608,0
27831,ZCTA5 27831,income,3381,556,0
27832,ZCTA5 27832,income,2868,350,0
27834,ZCTA5 27834,income,57258,1613,375
27837,ZCTA5 27837,income,7075,956,0
27839,ZCTA5 27839,income,3479,404,2629.3500000000004
27840,ZCTA5 27840,income,328,110,0
27841,ZCTA5 27841,income,16,14,0
27842,ZCTA5 27842,income,1446,188,2100
27843,ZCTA5 27843,income,1053,379,0
27844,ZCTA5 27844,income,2846,215,0
27845,ZCTA5 27845,income,3192,548,0
27846,ZCTA5 27846,income,3096,391,0
27847,ZCTA5 27847,income,649,229,0
27849,ZCTA5 27849,income,1608,352,0
27850,ZCTA5 27850,income,7410,512,3150
27851,ZCTA5 27851,income,5458,557,2068.75
27852,ZCTA5 27852,income,3061,420,0
27853,ZCTA5 27853,income,591,321,0
27855,ZCTA5 27855,income,6066,582,0
27856,ZCTA5 27856,income,17258,1142,0
27857,ZCTA5 27857,income,1037,206,0
27858,ZCTA5 27858,income,59182,1689,11327.5
27860,ZCTA5 27860,income,1663,413,0
27861,ZCTA5 27861,income,44,33,0
27862,ZCTA5 27862,income,727,212,0
27863,ZCTA5 27863,income,12782,1020,0
27864,ZCTA5 27864,income,4652,514,0
27865,ZCTA5 27865,income,1963,413,0
27866,ZCTA5 27866,income,961,282,0
27869,ZCTA5 27869,income,1705,339,0
27870,ZCTA5 27870,income,25497,656,0
27871,ZCTA5 27871,income,4293,461,0
27872,ZCTA5 27872,income,535,155,0
27873,ZCTA5 27873,income,413,132,0
27874,ZCTA5 27874,income,3837,493,10
27875,ZCTA5 27875,income,477,272,0
27876,ZCTA5 27876,income,1218,303,0
27878,ZCTA5 27878,income,2045,550,0
27879,ZCTA5 27879,income,316,107,0
27880,ZCTA5 27880,income,3421,690,0
27881,ZCTA5 27881,income,146,151,0
27882,ZCTA5 27882,income,7972,937,500
27883,ZCTA5 27883,income,2850,396,0
27884,ZCTA5 27884,income,1332,546,0
27885,ZCTA5 27885,income,963,259,0
27886,ZCTA5 27886,income,20280,644,0
27888,ZCTA5 27888,income,2261,350,0
27889,ZCTA5 27889,income,26637,954,200
27890,ZCTA5 27890,income,2685,360,0
27891,ZCTA5 27891,income,5036,538,2.5
27892,ZCTA5 27892,income,14217,536,0
27893,ZCTA5 27893,income,39531,1258,590
27896,ZCTA5 27896,income,20791,1302,27.5
27897,ZCTA5 27897,income,1810,409,0
27909,ZCTA5 27909,income,39551,34,1656.25
27910,ZCTA5 27910,income,11691,764,0
27915,ZCTA5 27915,income,421,181,0
27916,ZCTA5 27916,income,860,271,12.5
27917,ZCTA5 27917,income,647,308,0
27919,ZCTA5 27919,income,1035,424,0
27920,ZCTA5 27920,income,1527,420,0
27921,ZCTA5 27921,income,4750,600,0
27922,ZCTA5 27922,income,687,197,0
27923,ZCTA5 27923,income,827,340,0
27924,ZCTA5 27924,income,3568,654,0
27925,ZCTA5 27925,income,4003,69,0
27926,ZCTA5 27926,income,1692,334,0
27927,ZCTA5 27927,income,947,163,0
27928,ZCTA5 27928,income,1717,324,0
27929,ZCTA5 27929,income,1787,393,0
27932,ZCTA5 27932,income,12129,420,100
27935,ZCTA5 27935,income,1879,312,0
27936,ZCTA5 27936,income,953,247,0
27937,ZCTA5 27937,income,4448,442,0
27938,ZCTA5 27938,income,1233,271,0
27939,ZCTA5 27939,income,2862,482,110
27941,ZCTA5 27941,income,424,210,0
27942,ZCTA5 27942,income,658,186,0
27943,ZCTA5 27943,income,460,238,2.5
27944,ZCTA5 27944,income,11756,471,0
27946,ZCTA5 27946,income,1022,261,0
27947,ZCTA5 27947,income,1259,379,0
27948,ZCTA5 27948,income,11245,480,43
27949,ZCTA5 27949,income,7648,182,11520.5
27950,ZCTA5 27950,income,2048,295,0
27953,ZCTA5 27953,income,888,240,0
27954,ZCTA5 27954,income,7938,490,750
27956,ZCTA5 27956,income,549,233,0
27957,ZCTA5 27957,income,1143,426,0
27958,ZCTA5 27958,income,11354,612,500
27959,ZCTA5 27959,income,2938,22,500
27960,ZCTA5 27960,income,706,344,550
27962,ZCTA5 27962,income,7696,551,0
27964,ZCTA5 27964,income,661,237,0
27965,ZCTA5 27965,income,399,197,0
27966,ZCTA5 27966,income,818,267,0
27967,ZCTA5 27967,income,174,87,0
27968,ZCTA5 27968,income,141,96,0
27970,ZCTA5 27970,income,2446,465,250
27972,ZCTA5 27972,income,91,70,0
27973,ZCTA5 27973,income,1205,272,0
27974,ZCTA5 27974,income,1351,342,0
27976,ZCTA5 27976,income,4129,487,0
27978,ZCTA5 27978,income,184,95,0
27979,ZCTA5 27979,income,1473,259,0
27980,ZCTA5 27980,income,2018,452,0
27981,ZCTA5 27981,income,1732,281,0
27982,ZCTA5 27982,income,56,72,0
27983,ZCTA5 27983,income,8502,661,0
27985,ZCTA5 27985,income,390,144,0
27986,ZCTA5 27986,income,2362,289,0
28001,ZCTA5 28001,income,26557,655,361
28006,ZCTA5 28006,income,1116,232,0
28007,ZCTA5 28007,income,720,232,0
28009,ZCTA5 28009,income,1183,220,0
28012,ZCTA5 28012,income,23830,868,4.5
28016,ZCTA5 28016,income,13405,651,0
28017,ZCTA5 28017,income,730,200,0
28018,ZCTA5 28018,income,5234,709,0
28019,ZCTA5 28019,income,0,12,0
28020,ZCTA5 28020,income,2354,636,0
28021,ZCTA5 28021,income,14408,801,0
28023,ZCTA5 28023,income,16129,1112,540
28025,ZCTA5 28025,income,54425,1778,13535
28027,ZCTA5 28027,income,68716,1783,385
28031,ZCTA5 28031,income,28077,569,1983.57
28032,ZCTA5 28032,income,3245,254,0
28033,ZCTA5 28033,income,3132,595,0
28034,ZCTA5 28034,income,17386,966,525
28036,ZCTA5 28036,income,18266,622,1506.25
28037,ZCTA5 28037,income,20619,778,850
28039,ZCTA5 28039,income,82,79,0
28040,ZCTA5 28040,income,7441,664,0
28043,ZCTA5 28043,income,20339,1069,0
28052,ZCTA5 28052,income,35169,1176,0
28054,ZCTA5 28054,income,37876,1140,0
28056,ZCTA5 28056,income,34373,1064,5
28071,ZCTA5 28071,income,2667,484,0
28072,ZCTA5 28072,income,1527,311,0
28073,ZCTA5 28073,income,6541,866,0
28075,ZCTA5 28075,income,19099,556,10
28076,ZCTA5 28076,income,521,394,0
28077,ZCTA5 28077,income,467,141,0
28078,ZCTA5 28078,income,61043,974,0
28079,ZCTA5 28079,income,37694,1035,0
28080,ZCTA5 28080,income,7857,796,0
28081,ZCTA5 28081,income,28116,1284,300
28083,ZCTA5 28083,income,25536,1218,0
28086,ZCTA5 28086,income,25436,1022,1477.5
28088,ZCTA5 28088,income,2746,326,0
28089,ZCTA5 28089,income,227,74,0
28090,ZCTA5 28090,income,7820,752,0
28091,ZCTA5 28091,income,1975,341,250
28092,ZCTA5 28092,income,40517,1326,0
28097,ZCTA5 28097,income,6078,406,0
28098,ZCTA5 28098,income,3632,100,0
28101,ZCTA5 28101,income,970,245,0
28102,ZCTA5 28102,income,95,62,0
28103,ZCTA5 28103,income,11281,861,1.25
28104,ZCTA5 28104,income,31773,763,254.5
28105,ZCTA5 28105,income,46180,1095,675
28107,ZCTA5 28107,income,8024,758,0
28108,ZCTA5 28108,income,160,171,0
28109,ZCTA5 28109,income,334,80,0
28110,ZCTA5 28110,income,53733,1089,6.25
28112,ZCTA5 28112,income,26831,1172,300
28114,ZCTA5 28114,income,7475,1000,0
28115,ZCTA5 28115,income,37673,1310,0
28117,ZCTA5 28117,income,40855,1109,1184.5
28119,ZCTA5 28119,income,2391,471,0
28120,ZCTA5 28120,income,21582,814,2.5
28124,ZCTA5 28124,income,5946,567,0
28125,ZCTA5 28125,income,2421,368,0
28127,ZCTA5 28127,income,7704,589,40
28128,ZCTA5 28128,income,7519,612,0
28129,ZCTA5 28129,income,5416,476,2800
28133,ZCTA5 28133,income,2420,395,0
28134,ZCTA5 28134,income,11037,509,2100
28135,ZCTA5 28135,income,6245,542,0
28137,ZCTA5 28137,income,3181,489,0
28138,ZCTA5 28138,income,10160,818,0
28139,ZCTA5 28139,income,20467,1036,6.25
28144,ZCTA5 28144,income,24858,1000,745
28146,ZCTA5 28146,income,28420,1245,40
28147,ZCTA5 28147,income,23495,1021,250
28150,ZCTA5 28150,income,26965,1384,1716.25
28152,ZCTA5 28152,income,24523,1289,0
28159,ZCTA5 28159,income,2959,127,0
28160,ZCTA5 28160,income,3825,182,0
28163,ZCTA5 28163,income,5275,448,0
28164,ZCTA5 28164,income,15623,675,0
28166,ZCTA5 28166,income,9651,605,0
28167,ZCTA5 28167,income,2732,685,0
28168,ZCTA5 28168,income,10415,1063,0
28169,ZCTA5 28169,income,202,96,0
28170,ZCTA5 28170,income,11187,727,60.599999999999994
28173,ZCTA5 28173,income,59559,1098,1134.55
28174,ZCTA5 28174,income,9496,552,0
28202,ZCTA5 28202,income,13498,765,3600
28203,ZCTA5 28203,income,16655,742,7223.75
28204,ZCTA5 28204,income,7199,433,0
28205,ZCTA5 28205,income,48798,1441,1968.75
28206,ZCTA5 28206,income,12036,774,0
28207,ZCTA5 28207,income,9986,604,7170
28208,ZCTA5 28208,income,40284,2029,1428.43
28209,ZCTA5 28209,income,23533,997,18475
28210,ZCTA5 28210,income,48333,1448,11004.5
28211,ZCTA5 28211,income,31121,1056,26757.5
28212,ZCTA5 28212,income,47903,1716,0
28213,ZCTA5 28213,income,43099,1437,3660
28214,ZCTA5 28214,income,42412,1869,252.5
28215,ZCTA5 28215,income,62543,1920,0
28216,ZCTA5 28216,income,49849,1988,590
28217,ZCTA5 28217,income,30082,1328,0
28226,ZCTA5 28226,income,39796,1110,67752.5
28227,ZCTA5 28227,income,57336,1663,442.5
28244,ZCTA5 28244,income,0,12,0
28262,ZCTA5 28262,income,43209,1667,290
28269,ZCTA5 28269,income,77248,1886,20
28270,ZCTA5 28270,income,36086,1341,3133.25
28273,ZCTA5 28273,income,41170,1747,2427.86
28277,ZCTA5 28277,income,72132,1385,69397.78
28278,ZCTA5 28278,income,29347,1357,6100
28280,ZCTA5 28280,income,0,12,0
28282,ZCTA5 28282,income,0,12,0
28301,ZCTA5 28301,income,16929,593,2900
28303,ZCTA5 28303,income,29888,1100,1840
28304,ZCTA5 28304,income,36682,1040,0
28305,ZCTA5 28305,income,5751,370,1128.35
28306,ZCTA5 28306,income,42973,1616,550
28307,ZCTA5 28307,income,17065,1027,0
28308,ZCTA5 28308,income,588,216,0
28310,ZCTA5 28310,income,7066,1678,0
28311,ZCTA5 28311,income,35334,1168,500
28312,ZCTA5 28312,income,19761,1138,0
28314,ZCTA5 28314,income,58827,1167,4510
28315,ZCTA5 28315,income,13303,944,0
28318,ZCTA5 28318,income,4250,687,0
28320,ZCTA5 28320,income,9233,828,0
28323,ZCTA5 28323,income,4207,572,0
28325,ZCTA5 28325,income,605,172,0
28326,ZCTA5 28326,income,24217,1374,500
28327,ZCTA5 28327,income,17013,1023,0
28328,ZCTA5 28328,income,27372,1139,0
28330,ZCTA5 28330,income,293,190,0
28332,ZCTA5 28332,income,442,191,0
28333,ZCTA5 28333,income,10902,937,0
28334,ZCTA5 28334,income,23410,1071,6.25
28337,ZCTA5 28337,income,10574,870,400
28338,ZCTA5 28338,income,4718,589,0
28339,ZCTA5 28339,income,7432,528,0
28340,ZCTA5 28340,income,10075,602,750
28341,ZCTA5 28341,income,5047,788,0
28342,ZCTA5 28342,income,216,76,0
28343,ZCTA5 28343,income,1457,281,0
28344,ZCTA5 28344,income,3726,884,0
28345,ZCTA5 28345,income,12003,800,0
28347,ZCTA5 28347,income,2187,385,0
28348,ZCTA5 28348,income,35721,1411,300
28349,ZCTA5 28349,income,2598,610,150
28350,ZCTA5 28350,income,144,169,0
28351,ZCTA5 28351,income,4598,437,0
28352,ZCTA5 28352,income,25575,497,0
28356,ZCTA5 28356,income,4819,502,0
28357,ZCTA5 28357,income,2590,351,0
28358,ZCTA5 28358,income,38858,945,5000
28360,ZCTA5 28360,income,14769,977,0
28363,ZCTA5 28363,income,1415,437,0
28364,ZCTA5 28364,income,14732,805,0
28365,ZCTA5 28365,income,15533,1054,0
28366,ZCTA5 28366,income,5868,935,0
28367,ZCTA5 28367,income,126,74,0
28369,ZCTA5 28369,income,2585,366,0
28371,ZCTA5 28371,income,6964,844,0
28372,ZCTA5 28372,income,14196,642,3200
28373,ZCTA5 28373,income,2749,429,0
28374,ZCTA5 28374,income,17347,341,250
28375,ZCTA5 28375,income,164,68,0
28376,ZCTA5 28376,income,44967,729,0
28377,ZCTA5 28377,income,12654,887,500
28379,ZCTA5 28379,income,24512,856,0
28382,ZCTA5 28382,income,7252,1027,0
28383,ZCTA5 28383,income,8518,602,0
28384,ZCTA5 28384,income,11162,681,0
28385,ZCTA5 28385,income,2277,561,0
28386,ZCTA5 28386,income,6258,632,0
28387,ZCTA5 28387,income,15437,727,500
28390,ZCTA5 28390,income,24768,1006,0
28391,ZCTA5 28391,income,5842,570,0
28392,ZCTA5 28392,income,1559,491,0
28393,ZCTA5 28393,income,1962,493,0
28394,ZCTA5 28394,income,5547,840,0
28395,ZCTA5 28395,income,2046,366,0
28396,ZCTA5 28396,income,2583,343,0
28398,ZCTA5 28398,income,8296,979,1182.88
28399,ZCTA5 28399,income,1955,338,0
28401,ZCTA5 28401,income,24656,1169,607.5
28403,ZCTA5 28403,income,41525,1199,787.5
28405,ZCTA5 28405,income,32909,1352,2900
28409,ZCTA5 28409,income,34849,1231,0
28411,ZCTA5 28411,income,39019,1092,2106.25
28412,ZCTA5 28412,income,39106,1406,540
28420,ZCTA5 28420,income,4075,762,0
28421,ZCTA5 28421,income,1610,399,0
28422,ZCTA5 28422,income,8116,658,6.25
28423,ZCTA5 28423,income,2421,303,0
28424,ZCTA5 28424,income,48,30,0
28425,ZCTA5 28425,income,11833,859,0
28428,ZCTA5 28428,income,6611,129,1127.5
28429,ZCTA5 28429,income,7058,938,0
28430,ZCTA5 28430,income,2298,340,0
28431,ZCTA5 28431,income,7027,871,0
28432,ZCTA5 28432,income,1407,387,0
28433,ZCTA5 28433,income,5228,787,0
28434,ZCTA5 28434,income,948,249,0
28435,ZCTA5 28435,income,2210,414,0
28436,ZCTA5 28436,income,2090,447,0
28438,ZCTA5 28438,income,1651,353,0
28439,ZCTA5 28439,income,1038,319,0
28441,ZCTA5 28441,income,3396,588,0
28442,ZCTA5 28442,income,1432,334,0
28443,ZCTA5 28443,income,23266,1017,343.75
28444,ZCTA5 28444,income,2310,519,0
28445,ZCTA5 28445,income,7196,744,1000
28447,ZCTA5 28447,income,1734,564,0
28448,ZCTA5 28448,income,902,415,0
28449,ZCTA5 28449,income,1778,204,0
28450,ZCTA5 28450,income,2684,327,0
28451,ZCTA5 28451,income,35236,1297,8.75
28452,ZCTA5 28452,income,899,382,0
28453,ZCTA5 28453,income,3563,549,0
28454,ZCTA5 28454,income,2733,619,0
28455,ZCTA5 28455,income,2500,630,0
28456,ZCTA5 28456,income,3750,666,0
28457,ZCTA5 28457,income,10299,838,0
28458,ZCTA5 28458,income,6761,780,0
28460,ZCTA5 28460,income,10845,977,0
28461,ZCTA5 28461,income,20506,601,1323
28462,ZCTA5 28462,income,12917,1120,0
